timestamp,producer,quantity
2022-01-01 00:00:00+00:00,P1,0
2022-01-01 01:00:00+00:00,P1,0
2022-01-01 02:00:00+00:00,P1,0
2022-01-01 03:00:00+00:00,P1,0
2022-01-01 04:00:00+00:00,P1,0
2022-01-01 05:00:00+00:00,P1,0
2022-01-01 06:00:00+00:00,P1,0
2022-01-01 07:00:00+00:00,P1,0
2022-01-01 08:00:00+00:00,P1,3797
2022-01-01 09:00:00+00:00,P1,4908
2022-01-01 10:00:00+00:00,P1,37018
2022-01-01 11:00:00+00:00,P1,38448
2022-01-01 12:00:00+00:00,P1,15444
2022-01-01 13:00:00+00:00,P1,56019
2022-01-01 14:00:00+00:00,P1,46876
2022-01-01 15:00:00+00:00,P1,32492
2022-01-01 16:00:00+00:00,P1,12344
2022-01-01 17:00:00+00:00,P1,34
2022-01-01 18:00:00+00:00,P1,0
2022-01-01 19:00:00+00:00,P1,0
2022-01-01 20:00:00+00:00,P1,0
2022-01-01 21:00:00+00:00,P1,0
2022-01-01 22:00:00+00:00,P1,0
2022-01-01 23:00:00+00:00,P1,0
2022-01-02 00:00:00+00:00,P1,0
2022-01-02 01:00:00+00:00,P1,0
2022-01-02 02:00:00+00:00,P1,0
2022-01-02 03:00:00+00:00,P1,0
2022-01-02 04:00:00+00:00,P1,0
2022-01-02 05:00:00+00:00,P1,0
2022-01-02 06:00:00+00:00,P1,0
2022-01-02 07:00:00+00:00,P1,0
2022-01-02 08:00:00+00:00,P1,2343
2022-01-02 09:00:00+00:00,P1,2820
2022-01-02 10:00:00+00:00,P1,3775
2022-01-02 11:00:00+00:00,P1,18197
2022-01-02 12:00:00+00:00,P1,10142
2022-01-02 13:00:00+00:00,P1,61191
2022-01-02 14:00:00+00:00,P1,13279
2022-01-02 15:00:00+00:00,P1,2141
2022-01-02 16:00:00+00:00,P1,28109
2022-01-02 17:00:00+00:00,P1,2856
2022-01-02 18:00:00+00:00,P1,0
2022-01-02 19:00:00+00:00,P1,0
2022-01-02 20:00:00+00:00,P1,0
2022-01-02 21:00:00+00:00,P1,0
2022-01-02 22:00:00+00:00,P1,0
2022-01-02 23:00:00+00:00,P1,0
2022-01-03 00:00:00+00:00,P1,0
2022-01-03 01:00:00+00:00,P1,0
2022-01-03 02:00:00+00:00,P1,0
2022-01-03 03:00:00+00:00,P1,0
2022-01-03 04:00:00+00:00,P1,0
2022-01-03 05:00:00+00:00,P1,0
2022-01-03 06:00:00+00:00,P1,0
2022-01-03 07:00:00+00:00,P1,921
2022-01-03 08:00:00+00:00,P1,22223
2022-01-03 09:00:00+00:00,P1,1751
2022-01-03 10:00:00+00:00,P1,26525
2022-01-03 11:00:00+00:00,P1,44964
2022-01-03 12:00:00+00:00,P1,56846
2022-01-03 13:00:00+00:00,P1,81198
2022-01-03 14:00:00+00:00,P1,47785
2022-01-03 15:00:00+00:00,P1,8059
2022-01-03 16:00:00+00:00,P1,11630
2022-01-03 17:00:00+00:00,P1,5731
2022-01-03 18:00:00+00:00,P1,13
2022-01-03 19:00:00+00:00,P1,0
2022-01-03 20:00:00+00:00,P1,0
2022-01-03 21:00:00+00:00,P1,0
2022-01-03 22:00:00+00:00,P1,0
2022-01-03 23:00:00+00:00,P1,0
2022-01-04 00:00:00+00:00,P1,0
2022-01-04 01:00:00+00:00,P1,0
2022-01-04 02:00:00+00:00,P1,0
2022-01-04 03:00:00+00:00,P1,0
2022-01-04 04:00:00+00:00,P1,0
2022-01-04 05:00:00+00:00,P1,0
2022-01-04 06:00:00+00:00,P1,0
2022-01-04 07:00:00+00:00,P1,28
2022-01-04 08:00:00+00:00,P1,3821
2022-01-04 09:00:00+00:00,P1,10334
2022-01-04 10:00:00+00:00,P1,8307
2022-01-04 11:00:00+00:00,P1,29427
2022-01-04 12:00:00+00:00,P1,21251
2022-01-04 13:00:00+00:00,P1,27860
2022-01-04 14:00:00+00:00,P1,51114
2022-01-04 15:00:00+00:00,P1,47418
2022-01-04 16:00:00+00:00,P1,9305
2022-01-04 17:00:00+00:00,P1,25892
2022-01-04 18:00:00+00:00,P1,8112
2022-01-04 19:00:00+00:00,P1,2799
2022-01-04 20:00:00+00:00,P1,0
2022-01-04 21:00:00+00:00,P1,0
2022-01-04 22:00:00+00:00,P1,0
2022-01-04 23:00:00+00:00,P1,0
2022-01-05 00:00:00+00:00,P1,0
2022-01-05 01:00:00+00:00,P1,0
2022-01-05 02:00:00+00:00,P1,0
2022-01-05 03:00:00+00:00,P1,0
2022-01-05 04:00:00+00:00,P1,0
2022-01-05 05:00:00+00:00,P1,0
2022-01-05 06:00:00+00:00,P1,0
2022-01-05 07:00:00+00:00,P1,1505
2022-01-05 08:00:00+00:00,P1,10481
2022-01-05 09:00:00+00:00,P1,7340
2022-01-05 10:00:00+00:00,P1,29688
2022-01-05 11:00:00+00:00,P1,57038
2022-01-05 12:00:00+00:00,P1,16799
2022-01-05 13:00:00+00:00,P1,30462
2022-01-05 14:00:00+00:00,P1,28442
2022-01-05 15:00:00+00:00,P1,20388
2022-01-05 16:00:00+00:00,P1,3094
2022-01-05 17:00:00+00:00,P1,17177
2022-01-05 18:00:00+00:00,P1,14454
2022-01-05 19:00:00+00:00,P1,6331
2022-01-05 20:00:00+00:00,P1,624
2022-01-05 21:00:00+00:00,P1,0
2022-01-05 22:00:00+00:00,P1,0
2022-01-05 23:00:00+00:00,P1,0
2022-01-06 00:00:00+00:00,P1,0
2022-01-06 01:00:00+00:00,P1,0
2022-01-06 02:00:00+00:00,P1,0
2022-01-06 03:00:00+00:00,P1,0
2022-01-06 04:00:00+00:00,P1,0
2022-01-06 05:00:00+00:00,P1,0
2022-01-06 06:00:00+00:00,P1,181
2022-01-06 07:00:00+00:00,P1,560
2022-01-06 08:00:00+00:00,P1,7333
2022-01-06 09:00:00+00:00,P1,22046
2022-01-06 10:00:00+00:00,P1,33769
2022-01-06 11:00:00+00:00,P1,12696
2022-01-06 12:00:00+00:00,P1,40040
2022-01-06 13:00:00+00:00,P1,59409
2022-01-06 14:00:00+00:00,P1,41179
2022-01-06 15:00:00+00:00,P1,18475
2022-01-06 16:00:00+00:00,P1,33821
2022-01-06 17:00:00+00:00,P1,35080
2022-01-06 18:00:00+00:00,P1,10983
2022-01-06 19:00:00+00:00,P1,5216
2022-01-06 20:00:00+00:00,P1,2697
2022-01-06 21:00:00+00:00,P1,0
2022-01-06 22:00:00+00:00,P1,0
2022-01-06 23:00:00+00:00,P1,0
2022-01-07 00:00:00+00:00,P1,0
2022-01-07 01:00:00+00:00,P1,0
2022-01-07 02:00:00+00:00,P1,0
2022-01-07 03:00:00+00:00,P1,0
2022-01-07 04:00:00+00:00,P1,0
2022-01-07 05:00:00+00:00,P1,0
2022-01-07 06:00:00+00:00,P1,368
2022-01-07 07:00:00+00:00,P1,643
2022-01-07 08:00:00+00:00,P1,3162
2022-01-07 09:00:00+00:00,P1,19911
2022-01-07 10:00:00+00:00,P1,38402
2022-01-07 11:00:00+00:00,P1,855
2022-01-07 12:00:00+00:00,P1,13736
2022-01-07 13:00:00+00:00,P1,40003
2022-01-07 14:00:00+00:00,P1,5930
2022-01-07 15:00:00+00:00,P1,67233
2022-01-07 16:00:00+00:00,P1,58817
2022-01-07 17:00:00+00:00,P1,39131
2022-01-07 18:00:00+00:00,P1,18039
2022-01-07 19:00:00+00:00,P1,7197
2022-01-07 20:00:00+00:00,P1,1631
2022-01-07 21:00:00+00:00,P1,0
2022-01-07 22:00:00+00:00,P1,0
2022-01-07 23:00:00+00:00,P1,0
2022-01-08 00:00:00+00:00,P1,0
2022-01-08 01:00:00+00:00,P1,0
2022-01-08 02:00:00+00:00,P1,0
2022-01-08 03:00:00+00:00,P1,0
2022-01-08 04:00:00+00:00,P1,0
2022-01-08 05:00:00+00:00,P1,0
2022-01-08 06:00:00+00:00,P1,0
2022-01-08 07:00:00+00:00,P1,1706
2022-01-08 08:00:00+00:00,P1,9815
2022-01-08 09:00:00+00:00,P1,31179
2022-01-08 10:00:00+00:00,P1,11591
2022-01-08 11:00:00+00:00,P1,45395
2022-01-08 12:00:00+00:00,P1,31003
2022-01-08 13:00:00+00:00,P1,8085
2022-01-08 14:00:00+00:00,P1,15460
2022-01-08 15:00:00+00:00,P1,61384
2022-01-08 16:00:00+00:00,P1,38859
2022-01-08 17:00:00+00:00,P1,32680
2022-01-08 18:00:00+00:00,P1,10855
2022-01-08 19:00:00+00:00,P1,10228
2022-01-08 20:00:00+00:00,P1,1171
2022-01-08 21:00:00+00:00,P1,0
2022-01-08 22:00:00+00:00,P1,0
2022-01-08 23:00:00+00:00,P1,0
2022-01-09 00:00:00+00:00,P1,0
2022-01-09 01:00:00+00:00,P1,0
2022-01-09 02:00:00+00:00,P1,0
2022-01-09 03:00:00+00:00,P1,0
2022-01-09 04:00:00+00:00,P1,0
2022-01-09 05:00:00+00:00,P1,0
2022-01-09 06:00:00+00:00,P1,0
2022-01-09 07:00:00+00:00,P1,470
2022-01-09 08:00:00+00:00,P1,1339
2022-01-09 09:00:00+00:00,P1,14300
2022-01-09 10:00:00+00:00,P1,7378
2022-01-09 11:00:00+00:00,P1,8369
2022-01-09 12:00:00+00:00,P1,11291
2022-01-09 13:00:00+00:00,P1,12710
2022-01-09 14:00:00+00:00,P1,15310
2022-01-09 15:00:00+00:00,P1,6757
2022-01-09 16:00:00+00:00,P1,21853
2022-01-09 17:00:00+00:00,P1,14055
2022-01-09 18:00:00+00:00,P1,5064
2022-01-09 19:00:00+00:00,P1,282
2022-01-09 20:00:00+00:00,P1,0
2022-01-09 21:00:00+00:00,P1,0
2022-01-09 22:00:00+00:00,P1,0
2022-01-09 23:00:00+00:00,P1,0
2022-01-10 00:00:00+00:00,P1,0
2022-01-10 01:00:00+00:00,P1,0
2022-01-10 02:00:00+00:00,P1,0
2022-01-10 03:00:00+00:00,P1,0
2022-01-10 04:00:00+00:00,P1,0
2022-01-10 05:00:00+00:00,P1,0
2022-01-10 06:00:00+00:00,P1,0
2022-01-10 07:00:00+00:00,P1,0
2022-01-10 08:00:00+00:00,P1,849
2022-01-10 09:00:00+00:00,P1,12333
2022-01-10 10:00:00+00:00,P1,30171
2022-01-10 11:00:00+00:00,P1,24143
2022-01-10 12:00:00+00:00,P1,18953
2022-01-10 13:00:00+00:00,P1,30456
2022-01-10 14:00:00+00:00,P1,9842
2022-01-10 15:00:00+00:00,P1,16236
2022-01-10 16:00:00+00:00,P1,24733
2022-01-10 17:00:00+00:00,P1,4214
2022-01-10 18:00:00+00:00,P1,6638
2022-01-10 19:00:00+00:00,P1,19
2022-01-10 20:00:00+00:00,P1,0
2022-01-10 21:00:00+00:00,P1,0
2022-01-10 22:00:00+00:00,P1,0
2022-01-10 23:00:00+00:00,P1,0
2022-01-11 00:00:00+00:00,P1,0
2022-01-11 01:00:00+00:00,P1,0
2022-01-11 02:00:00+00:00,P1,0
2022-01-11 03:00:00+00:00,P1,0
2022-01-11 04:00:00+00:00,P1,0
2022-01-11 05:00:00+00:00,P1,0
2022-01-11 06:00:00+00:00,P1,0
2022-01-11 07:00:00+00:00,P1,0
2022-01-11 08:00:00+00:00,P1,3132
2022-01-11 09:00:00+00:00,P1,6527
2022-01-11 10:00:00+00:00,P1,12667
2022-01-11 11:00:00+00:00,P1,19463
2022-01-11 12:00:00+00:00,P1,6752
2022-01-11 13:00:00+00:00,P1,29387
2022-01-11 14:00:00+00:00,P1,17358
2022-01-11 15:00:00+00:00,P1,11554
2022-01-11 16:00:00+00:00,P1,3412
2022-01-11 17:00:00+00:00,P1,221
2022-01-11 18:00:00+00:00,P1,0
2022-01-11 19:00:00+00:00,P1,0
2022-01-11 20:00:00+00:00,P1,0
2022-01-11 21:00:00+00:00,P1,0
2022-01-11 22:00:00+00:00,P1,0
2022-01-11 23:00:00+00:00,P1,0
2022-01-12 00:00:00+00:00,P1,0
2022-01-12 01:00:00+00:00,P1,0
